artist_name,artist_uri,artist_id,total_plays
ZAYN,,,3279
Post Malone,,,2221
Taylor Swift,,,1423
Pritam,,,1361
Linkin Park,,,1193
AP Dhillon,,,1130
Harry Styles,,,881
John Williams,,,733
Coldplay,,,689
Anuv Jain,,,686
Eminem,,,684
DIVINE,,,633
Juice WRLD,,,612
Cigarettes After Sex,,,605
John Mayer,,,593
Brainy,,,545
Queen,,,536
Imagine Dragons,,,508
A.R. Rahman,,,473
Selena Gomez,,,469
Prateek Kuhad,,,463
Shankar-Ehsaan-Loy,,,431
Justin Bieber,,,427
The Weeknd,,,418
Westlife,,,393
The Beatles,,,373
Miley Cyrus,,,357
Mohit Chauhan,,,355
Shawn Mendes,,,348
One Direction,,,346
Ariana Grande,,,338
The Smiths,,,331
Maroon 5,,,328
King,,,323
Ritviz,,,316
Seedhe Maut,,,315
Pink Floyd,,,312
Amit Trivedi,,,311
The Shins,,,290
Billie Eilish,,,278
Dean Martin,,,272
The Local Train,,,267
Twenty One Pilots,,,266
Niall Horan,,,261
Ed Sheeran,,,260
Dua Lipa,,,253
Arijit Singh,,,250
Jung Kook,,,249
AUR,,,229
OAFF,,,221
Nirvana,,,219
Connor Price,,,219
U2,,,218
Lauv,,,218
Dominic Fike,,,215
OneRepublic,,,214
Shankar Mahadevan,,,208
Talha Anjum,,,208
Rushil Aswal,,,208
Elvis Presley,,,205
Bob Dylan,,,195
5 Seconds of Summer,,,193
Bruno Major,,,192
Hailee Steinfeld,,,188
Vishal Mishra,,,186
New West,,,185
Sonu Nigam,,,184
Neil Diamond,,,181
When Chai Met Toast,,,179
Rihanna,,,178
Sachin-Jigar,,,177
Janisht Joshi,,,177
Michael Jackson,,,172
Martin Garrix,,,171
Jokhay,,,171
Frank Ocean,,,168
KR$NA,,,167
Kaam Bhaari,,,166
Kina Grannis,,,165
Jasleen Royal,,,165
Billy Joel,,,162
Frank Sinatra,,,161
The Yellow Diary,,,151
Jeremy Zucker,,,150
Vishal-Shekhar,,,147
Naezy,,,147
Kodaline,,,145
Young Stunners,,,145
Labrinth,,,143
Osho Jain,,,136
The Chainsmokers,,,135
Siddhartha Khosla,,,135
