track_uri,track_name,artist_name,album_name,album_uri,total_plays,first_played_date,last_played_date
spotify:track:7IatLQIKChU9gt0OexdEXp,Homesick,Kane Brown,Homesick,,3,2018-10-29,2018-11-25
spotify:track:4K3adSK6GHMqro4wC4WWDF,Freelance,Toro y Moi,Freelance,,1,2018-10-29,2018-10-29
spotify:track:0VWPd2zYt1430jL6XtUjep,Bop,Dan Seals,Won't Be Blue Anymore,,1,2018-10-29,2018-10-29
spotify:track:392xGZGwgHLVomBXgrE07u,Change My Life,Levi Hummon,Change My Life,,1,2018-10-29,2018-10-29
spotify:track:3xcQAlAfxaZax3PrcA7LAn,I Can't Breathe,Parker McCollum,Probably Wrong,,1,2018-10-29,2018-10-29
spotify:track:1Xa0gIAsmt1vRlo2fXPZEr,On My Way to You,Cody Johnson,On My Way to You,,1,2018-10-29,2018-10-29
spotify:track:0CVHJRneWfL2y3EE2mMYKA,Wonder Woman,Waterloo Revival,Wonder Woman,,1,2018-10-29,2018-10-29
spotify:track:7vIwwIRqEyiDFmL1L0Cd5t,Over Did It,Adam Sanders,Adam Sanders,,1,2018-10-29,2018-10-29
spotify:track:13RXksOPTNJV6jeolktkm0,Heart Like A Wheel,Eric Church,Heart Like A Wheel,,1,2018-10-29,2018-10-29
spotify:track:53rP0JKz6J3U1H6rIwBwjM,Texas Lullaby,Aaron Watson,Vaquero,,1,2018-10-29,2018-10-29
spotify:track:0bKKMEIGlIgOYhQtyEiYli,See You Try,Craig Campbell,See You Try,,1,2018-10-29,2018-10-29
spotify:track:48soTbO64fT2Xw3xxvAXY5,Whoever Broke Your Heart,Murphy Elmore,Whoever Broke Your Heart,,2,2018-10-29,2018-11-11
spotify:track:2MGKDu7orDRI1eADeiJAT5,Slow Down,Steve Moakler,Born Ready,,2,2018-10-29,2018-11-11
spotify:track:4fpEuKIzTLmMJnYwFU0oqr,Death with Dignity,Sufjan Stevens,Carrie & Lowell,,3,2018-11-17,2018-11-25
spotify:track:6xE98wKYt4vZk8j7cctjw8,Jingle Bell Rock,Bobby Helms,Santa's Top 10 Favorites,,2,2018-11-23,2018-11-25
spotify:track:6THwtgImf1ZAR2w3iknjeS,We Don't Care,Sigala,Brighter Days,,3,2018-11-25,2019-03-12
spotify:track:0dXNQ8dckG4eYfEtq9zcva,All Night,The Vamps,Night & Day,,25,2018-11-25,2024-10-12
spotify:track:5153LWKMJiMNIRCChGN4Ja,Hands,Mike Perry,Hands,,1,2018-11-25,2018-11-25
spotify:track:6Slp0UIP9kNDa7I2g11D0P,Fix You - Live in Buenos Aires,Coldplay,Fix You,,3,2018-11-25,2018-11-25
spotify:track:0BCPKOYdS2jbQ8iyB56Zns,Clocks,Coldplay,A Rush of Blood to the Head,,18,2018-11-25,2023-08-03
spotify:track:3bH4HzoZZFq8UpZmI2AMgV,New Light,John Mayer,New Light,,10,2018-11-25,2020-03-03
spotify:track:5SjLRpgI7LWFzy9ggSqlkO,Eulogy,Kyle Dixon & Michael Stein,Stranger Things 2 (Soundtrack from the Netflix Original Series),,3,2018-11-25,2019-02-27
spotify:track:3kIdjWDaZ9gs4v2iirkJie,Spider-Man,John Paesano,Marvel's Spider-Man,,2,2018-11-25,2022-03-07
spotify:track:5l8oNQsDDPNFUIV5M4lzRJ,Free Animal,Foreign Air,Free Animal,,1,2018-11-25,2018-11-25
spotify:track:6RtRxaZN5RMWFbeZW24oRx,hold on,flor,come out. you're hiding,,2,2018-11-25,2021-01-17
spotify:track:7rAUH8YZRvGyZ5wmoKjYbG,So I Met Someone,VHS Collection,So I Met Someone,,3,2018-11-25,2019-02-27
spotify:track:1dXR4NTSFRLAmLqbcDsSFh,Turning The Screw,Generationals,Turning The Screw,,1,2018-11-25,2018-11-25
spotify:track:3Rhbpb5OUI4BbK580AUpew,Sensations - Whethan Remix,Elohim,Sensations,,1,2018-11-25,2018-11-25
spotify:track:5YLnfy7R2kueN0BRPkjiEG,I'll Take You There,The Staple Singers,The Very Best Of The Staple Singers,,1,2018-11-25,2018-11-25
spotify:track:3GVhCuS4BRxCTvVj4Cmc8w,How Much I Feel,Ambrosia,Life Beyond L.A.,,1,2018-11-25,2018-11-25
spotify:track:1I7zHEdDx8Ny5RxzYPqsU2,Reelin' In The Years,Steely Dan,Can't Buy A Thrill,,1,2018-11-25,2018-11-25
spotify:track:1LM6t24SjQr2bJHqeGIR4U,Still Feel Like Your Man,John Mayer,The Search for Everything,,11,2018-11-25,2023-01-27
spotify:track:5ddXMXmXZ2FN4iliTG20nO,Emoji of a Wave,John Mayer,The Search for Everything,,4,2018-11-25,2023-01-27
spotify:track:701DK0It9f7iurRnzKvF0y,Helpless,John Mayer,The Search for Everything,,8,2018-11-25,2019-04-01
spotify:track:42dbDZX9bsEGqMZWYmnR7J,Perfectly Lonely,John Mayer,Battle Studies,,3,2018-11-25,2023-01-27
spotify:track:1G4s7WkhgmdQvYaGCHjw1G,"Theme from ""The Search for Everything""",John Mayer,The Search for Everything,,1,2018-11-25,2018-11-25
spotify:track:1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),,1,2018-11-25,2018-11-25
spotify:track:7uuEfUMuPeQ7RlSWa0cES2,Can’t Help Falling in Love,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),,4,2018-11-25,2019-03-02
spotify:track:5vUNRJsvEOUsz4sbKkJpFr,Latch - Acoustic,Sam Smith,In The Lonely Hour,,2,2018-11-25,2018-11-26
spotify:track:3qhobDAfBcVoOWZP8Ck8R2,Ophelia,The Lumineers,Ophelia,,2,2018-11-26,2018-11-26
spotify:track:6668ZaUUXqZ25Tb0DMr2HO,When You Love Someone - Acoustic,James TW,When You Love Someone,,4,2018-11-26,2019-03-16
spotify:track:5esPpmrM2AsyDVgOKzWQwU,Beyond,Leon Bridges,Beyond,,22,2018-11-26,2019-12-08
spotify:track:4F1yvJfQ7gJkrcgFJQDjOr,Playinwitme (feat. Kehlani),KYLE,Light of Mine,,1,2018-11-26,2018-11-26
spotify:track:10Igtw8bSDyyFs7KIsKngZ,Freaky Friday (feat. Chris Brown),Lil Dicky,Freaky Friday (feat. Chris Brown),,1,2018-11-26,2018-11-26
spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid,American Teen,,3,2018-11-26,2022-03-25
spotify:track:5WoaF1B5XIEnWfmb5NZikf,Sky Walker (feat. Travis Scott),Miguel,War & Leisure,,1,2018-11-26,2018-11-26
spotify:track:5uu28fUesZMl89lf9CLrgN,Feels Great (feat. Fetty Wap & CVBZ),Cheat Codes,Feels Great (feat. Fetty Wap & CVBZ),,1,2018-11-26,2018-11-26
spotify:track:1keIwLlHg0VZhoQQiTb0Xi,Man Down (feat. AlunaGeorge),Shakka,Man Down (feat. AlunaGeorge),,1,2018-11-26,2018-11-26
spotify:track:2FVm4ADgYRIQWlpYKDPdl9,Winnebago (feat. Quinn XCII & Daniel Wilson),Gryffin,Winnebago (feat. Quinn XCII & Daniel Wilson),,1,2018-11-26,2018-11-26
spotify:track:5WvAo7DNuPRmk4APhdPzi8,No Brainer,DJ Khaled,No Brainer,,2,2018-11-26,2019-03-13
spotify:track:5My4LtZW8JQJoKFDWodqIt,Use Somebody - Recorded at Spotify Studios NYC,Shawn Mendes,Spotify Singles,,5,2018-11-26,2019-12-02
spotify:track:5gRGXpg9mSxxaj3rK76VR3,"God is a woman - Recorded at Metropolis Studios, London",Paloma Faith,Spotify Singles,,1,2018-11-26,2018-11-26
spotify:track:2WAgH8swV4cTXaSPeo1k7w,High Tide or Low Tide - Live from Spotify Studios NYC,Janelle Monáe,Spotify Singles,,1,2018-11-26,2018-11-26
spotify:track:4AL1lFrYg2RgSIGVjKOo2E,"Never Be The Same - Recorded At Revolution Studios, Toronto",James Barker Band,Spotify Singles,,1,2018-11-26,2018-11-26
spotify:track:4cb7mVR5o6NSgfvlYxOuhl,"Rock Lobster - Recorded at RAK Studios, London",shame,Spotify Singles,,1,2018-11-26,2018-11-26
spotify:track:5o546Sxsa5KAl90cEdSo4T,Lovesong - Recorded at Spotify Studios NYC,Welles,Spotify Singles,,2,2018-11-26,2018-11-26
spotify:track:42bbDWZ8WmXTH7PkYAlGLu,Hold My Girl,George Ezra,Staying at Tamara's,,1,2018-11-26,2018-11-26
spotify:track:38sCPCcv3QjWl0NslC5KtW,Best Days - Acoustic,Lissie,Best Days (Acoustic),,1,2018-11-26,2018-11-26
spotify:track:0BfPVt9Rgngm70OTpy1TPE,Another Way,Donovan Woods,Both Ways,,1,2018-11-26,2018-11-26
spotify:track:1WUHeOPayLKPMG35uBJVUj,Far Too Good,John Smith,Headlong,,1,2018-11-26,2018-11-26
spotify:track:0j2WBxWZnWti5TpSxjJvPb,Love on the Weekend,John Mayer,Love on the Weekend,,1,2018-11-26,2018-11-26
spotify:track:6LxcPUqx6noURdA5qc4BAT,Motion Sickness,Phoebe Bridgers,Stranger in the Alps,,11,2018-12-02,2021-07-17
spotify:track:6gdCb962lq0Xdg7ypVLuLt,Harvest Moon - Recorded at Spotify Studios NYC,Lord Huron,Spotify Singles,,1,2018-12-02,2018-12-02
spotify:track:5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,Pedro Capó,Calma,,1,2018-12-16,2018-12-16
spotify:track:2RttW7RAu5nOAfq6YFvApB,Happier,Ed Sheeran,÷,,6,2018-12-16,2022-08-17
spotify:track:3E6iea9uEmB7gRru4lyP6h,Stop This Train,John Mayer,Continuum,,28,2018-12-16,2024-10-13
spotify:track:2eMVogxm08LgfgnWpahooV,Split Screen Sadness,John Mayer,Heavier Things,,1,2018-12-16,2018-12-16
spotify:track:5FDh0G5oQ2UD9JxWiDCT1x,Paper Doll,John Mayer,Paradise Valley,,6,2018-12-16,2023-01-27
spotify:track:7keXdrB4mz57u4b8YkCwag,Dreaming with a Broken Heart,John Mayer,Continuum,,4,2018-12-16,2023-01-27
spotify:track:77Y57qRJBvkGCUw9qs0qMg,In the Blood,John Mayer,The Search for Everything,,3,2018-12-16,2023-01-27
spotify:track:3brCbW1KbGBUvMsqUhHQEy,Back to You,John Mayer,Room For Squares,,1,2018-12-16,2018-12-16
spotify:track:78DwRIo6Vj6wqteyerGetr,The Heart of Life,John Mayer,Continuum,,15,2019-01-25,2023-05-16
spotify:track:5Aq5TIy9jVK70aL7xcE9oa,Dear Marie,John Mayer,Paradise Valley,,3,2019-02-06,2023-01-27
spotify:track:0c99BUd87HQfzgUUQqRyds,For Now,Kina Grannis,In the Waiting,,28,2019-02-26,2019-12-06
spotify:track:6sW7hl75N55iL7Cpah7XKk,Fire Escape - Acoustic,Imaginary Future,Fire Escape,,2,2019-02-26,2019-03-12
