Artist 1,Artist 2,Days Together
Pritam,Shankar-Ehsaan-Loy,141
A.R. Rahman,Pritam,131
Taylor Swift,ZAYN,120
Anuv Jain,Pritam,117
A.R. Rahman,Shankar-Ehsaan-Loy,110
Selena Gomez,Taylor Swift,108
Post Malone,ZAYN,108
Harry Styles,Taylor Swift,100
Harry Styles,ZAYN,98
Shawn Mendes,Taylor Swift,98
Shawn Mendes,ZAYN,94
Post Malone,Taylor Swift,92
Miley Cyrus,Taylor Swift,89
AP Dhillon,Pritam,89
Miley Cyrus,Shawn Mendes,84
A.R. Rahman,Anuv Jain,84
Pritam,ZAYN,81
Harry Styles,The Weeknd,77
Coldplay,Linkin Park,75
Justin Bieber,Miley Cyrus,75
Imagine Dragons,Miley Cyrus,75
Post Malone,Pritam,74
One Direction,Taylor Swift,74
Justin Bieber,Taylor Swift,73
Imagine Dragons,Justin Bieber,73
Justin Bieber,ZAYN,72
Pritam,Taylor Swift,71
Anuv Jain,Prateek Kuhad,70
Juice WRLD,Taylor Swift,70
Imagine Dragons,Post Malone,70
Justin Bieber,Shawn Mendes,69
Coldplay,Taylor Swift,69
Anuv Jain,Shankar-Ehsaan-Loy,68
Imagine Dragons,Shawn Mendes,68
Imagine Dragons,Taylor Swift,67
Harry Styles,Post Malone,67
Imagine Dragons,The Weeknd,65
Imagine Dragons,ZAYN,64
Harry Styles,Shawn Mendes,64
Post Malone,The Weeknd,64
Post Malone,Shawn Mendes,64
Queen,The Beatles,64
Justin Bieber,The Weeknd,63
AP Dhillon,Post Malone,62
Linkin Park,Taylor Swift,62
Eminem,Taylor Swift,61
Harry Styles,Selena Gomez,59
The Weeknd,ZAYN,58
Miley Cyrus,ZAYN,58
Eminem,Linkin Park,58
