Metric,Value
Total Audio Streams,"71,052"
Total Video Streams,235
Total Listening Time (hours),"3,244.6"
Total Listening Time (days),135.2
Average Stream Duration (minutes),2.74
First Stream Date,2018-10-29
Last Stream Date,2025-10-10
Total Span (days),"2,538"
Average Streams per Day,28.0
Average Hours per Day,1.28
Unique Tracks,"11,803"
Unique Artists,"4,344"
Unique Albums,"8,283"
Shuffle Mode Usage,"20,286 (28.6%)"
Skipped Tracks,"6,305 (8.9%)"
Offline Listening,"1,534 (2.2%)"
Private Sessions,930 (1.3%)
Unique Platforms,53
Unique Countries,5
Days with Listening Activity,"2,161"
Activity Coverage,85.1%
