Date,Total Streams,Total Hours,Unique Tracks,Unique Artists,Day of Week
2018-10-29,14,0.6734652777777778,13,13,Monday
2018-11-11,2,0.0006616666666666666,2,2,Sunday
2018-11-17,1,0.01256138888888889,1,1,Saturday
2018-11-23,2,0.040703611111111114,2,2,Friday
2018-11-25,33,0.6782047222222222,27,21,Sunday
2018-11-26,26,0.7953819444444444,23,23,Monday
2018-12-02,3,0.023774444444444445,2,2,Sunday
2018-12-14,1,0.011731666666666666,1,1,Friday
2018-12-16,8,0.02650111111111111,8,3,Sunday
2019-01-25,3,0.002841666666666667,2,1,Friday
2019-02-06,1,0.013269444444444445,1,1,Wednesday
2019-02-26,16,0.8710108333333333,13,6,Tuesday
2019-02-27,92,3.0395422222222224,68,40,Wednesday
2019-02-28,40,2.003312222222222,30,23,Thursday
2019-03-01,46,1.2601130555555555,21,14,Friday
2019-03-02,144,1.8403730555555555,105,52,Saturday
2019-03-03,75,2.2862038888888887,51,33,Sunday
2019-03-04,6,0.17285444444444445,6,5,Monday
2019-03-05,17,0.991736111111111,17,17,Tuesday
2019-03-06,57,2.601503611111111,31,25,Wednesday
2019-03-07,96,2.168878888888889,69,58,Thursday
2019-03-08,132,0.42995527777777776,97,59,Friday
2019-03-09,110,2.234964722222222,95,79,Saturday
2019-03-10,63,0.9792519444444444,48,47,Sunday
2019-03-11,27,0.814491388888889,20,16,Monday
2019-03-12,38,1.8864369444444444,36,35,Tuesday
2019-03-13,35,1.3525272222222222,32,12,Wednesday
2019-03-14,7,0.1666747222222222,6,3,Thursday
2019-03-15,29,1.2637891666666667,25,15,Friday
2019-03-16,49,2.5274236111111112,45,43,Saturday
2019-03-17,25,0.8556177777777778,23,19,Sunday
2019-03-18,1,0.002425,1,1,Monday
2019-03-19,52,1.6577941666666667,36,15,Tuesday
2019-03-20,127,4.864582222222222,102,66,Wednesday
2019-03-21,38,1.4924463888888888,32,18,Thursday
2019-03-22,20,0.9218313888888889,20,20,Friday
2019-03-23,12,0.4999786111111111,12,12,Saturday
2019-03-24,48,2.829211388888889,48,47,Sunday
2019-03-25,72,0.5794241666666666,70,65,Monday
2019-03-26,86,2.2031769444444445,41,10,Tuesday
2019-03-27,53,2.024066388888889,29,22,Wednesday
2019-03-28,33,1.7913266666666667,33,29,Thursday
2019-03-29,37,1.7925936111111112,24,24,Friday
2019-03-30,41,2.0948819444444444,39,32,Saturday
2019-03-31,5,0.14733833333333335,5,5,Sunday
2019-04-01,76,2.4532202777777776,69,45,Monday
2019-04-02,40,1.5614530555555555,36,33,Tuesday
2019-04-03,58,2.3040316666666665,48,33,Wednesday
2019-04-04,51,3.205483611111111,40,15,Thursday
2019-04-05,40,2.198081111111111,34,28,Friday
2019-04-06,15,0.9899352777777778,15,11,Saturday
2019-04-07,36,1.4070555555555555,26,23,Sunday
2019-04-08,30,1.7874252777777777,24,11,Monday
2019-04-09,4,0.11752222222222222,3,3,Tuesday
2019-04-10,75,1.9144536111111112,53,42,Wednesday
2019-04-11,177,3.7117216666666666,132,76,Thursday
2019-04-12,133,2.9496297222222223,112,77,Friday
2019-04-13,38,0.4850069444444444,35,27,Saturday
2019-04-14,5,0.20730500000000002,5,5,Sunday
2019-04-15,11,0.5340975,10,10,Monday
2019-04-16,85,4.508445,70,59,Tuesday
2019-04-17,19,0.7562955555555555,17,17,Wednesday
2019-04-18,26,1.0335544444444444,23,11,Thursday
2019-04-19,5,0.3219822222222222,5,4,Friday
2019-04-20,60,2.590486388888889,32,20,Saturday
2019-04-22,145,3.466457777777778,114,67,Monday
2019-04-23,1,0.029219444444444444,1,1,Tuesday
2019-04-24,33,0.26975666666666664,31,25,Wednesday
2019-04-25,8,0.17294416666666668,8,6,Thursday
2019-04-26,35,1.1883477777777778,31,28,Friday
2019-04-28,6,0.15203777777777777,6,6,Sunday
2019-04-29,11,0.35694555555555557,11,10,Monday
2019-04-30,48,0.9850161111111111,47,44,Tuesday
2019-05-01,17,0.7466752777777778,17,15,Wednesday
2019-05-02,99,1.172963888888889,97,84,Thursday
2019-05-03,89,1.4045727777777777,61,61,Friday
2019-05-04,33,0.8437091666666666,22,21,Saturday
2019-05-05,1,0.014822222222222223,1,1,Sunday
2019-05-07,3,0.15583833333333333,2,2,Tuesday
2019-05-08,1,0.010009722222222222,1,1,Wednesday
2019-05-10,39,0.36226888888888886,31,24,Friday
2019-05-11,28,1.2966122222222223,25,22,Saturday
2019-05-14,36,1.6756427777777778,30,30,Tuesday
2019-05-15,23,0.8242169444444445,20,20,Wednesday
2019-05-16,2,0.048232222222222225,2,2,Thursday
2019-05-17,3,0.034548055555555554,3,3,Friday
2019-05-18,286,4.560445277777777,186,135,Saturday
2019-05-19,50,1.7145161111111111,36,34,Sunday
2019-05-20,42,2.074660277777778,39,29,Monday
2019-05-21,79,4.351123888888889,75,46,Tuesday
2019-05-22,101,5.485566666666666,89,64,Wednesday
2019-05-23,30,1.5557077777777777,28,25,Thursday
2019-05-24,118,6.348356944444444,107,57,Friday
2019-05-25,95,5.249138888888889,69,54,Saturday
2019-05-26,106,1.3031613888888889,88,79,Sunday
2019-05-27,35,1.7254944444444444,24,23,Monday
2019-05-28,51,1.4439977777777777,45,43,Tuesday
2019-05-29,15,0.6615822222222222,12,12,Wednesday
2019-05-30,31,1.561003611111111,26,20,Thursday
2019-05-31,82,4.186908888888889,68,66,Friday
2019-06-01,4,0.17399944444444446,4,3,Saturday
2019-06-03,2,0.12617277777777777,2,2,Monday
2019-06-05,55,0.6166822222222222,19,14,Wednesday
2019-06-06,1,0.02411111111111111,1,1,Thursday
2019-06-07,61,3.0170008333333334,52,47,Friday
2019-06-08,10,0.2378811111111111,9,8,Saturday
2019-06-09,25,1.1243152777777778,23,17,Sunday
2019-06-10,39,1.4521725,36,29,Monday
2019-06-11,65,2.5345958333333334,45,35,Tuesday
2019-06-12,16,0.811643611111111,16,14,Wednesday
2019-06-14,51,2.871325833333333,44,36,Friday
2019-06-15,2,0.07570555555555555,2,2,Saturday
2019-06-17,49,0.4228530555555555,38,31,Monday
2019-06-18,46,2.2213475,28,23,Tuesday
2019-06-19,34,1.5631211111111112,30,27,Wednesday
2019-06-20,12,0.6053077777777778,12,10,Thursday
2019-06-21,42,2.321374722222222,29,24,Friday
2019-06-22,30,1.594486388888889,30,25,Saturday
2019-06-23,50,2.922994166666667,30,25,Sunday
2019-06-24,2,0.037394166666666666,2,2,Monday
2019-06-25,3,0.005226111111111111,3,3,Tuesday
2019-06-26,1,0.001635,1,1,Wednesday
2019-06-27,36,1.5428930555555556,34,28,Thursday
2019-06-30,32,1.3390794444444445,29,24,Sunday
2019-07-01,15,0.8989569444444445,14,14,Monday
2019-07-02,26,1.4761169444444444,26,22,Tuesday
2019-07-03,20,1.0946755555555556,20,18,Wednesday
2019-07-04,34,1.3959633333333334,27,23,Thursday
2019-07-05,31,2.106773611111111,30,20,Friday
2019-07-07,7,0.36145444444444447,7,7,Sunday
2019-07-10,25,0.23136361111111112,21,19,Wednesday
2019-07-13,1,0.04170444444444445,1,1,Saturday
2019-07-14,143,1.4887880555555555,117,99,Sunday
2019-07-15,35,2.009273611111111,30,30,Monday
2019-07-16,11,0.7160333333333333,10,7,Tuesday
2019-07-17,33,1.4981766666666667,29,26,Wednesday
2019-07-18,31,1.5706405555555556,30,23,Thursday
2019-07-19,31,1.0921202777777779,29,21,Friday
2019-07-20,7,0.06073,7,6,Saturday
2019-07-21,49,2.572391111111111,36,29,Sunday
2019-07-22,14,0.8291322222222223,13,13,Monday
2019-07-23,24,1.2765816666666667,24,22,Tuesday
2019-07-24,19,1.2212769444444445,19,19,Wednesday
2019-07-25,12,0.6329069444444445,11,10,Thursday
