month,total_streams,hours_listened,unique_tracks,unique_artists
2018-10,14,0.6734652777777778,13,13
2018-11,64,1.5275133333333333,51,44
2018-12,12,0.06200722222222222,11,5
2019-01,3,0.002841666666666667,2,1
2019-02,149,5.927134722222222,107,62
2019-03,1581,46.733873055555556,785,448
2019-04,1271,41.65791138888889,731,414
2019-05,1495,50.81177666666667,684,421
2019-06,668,27.643318611111113,346,235
2019-07,979,42.21621777777778,495,326
2019-08,1313,52.59158722222222,579,361
2019-09,946,42.272015555555555,648,346
2019-10,1913,87.53663,902,471
2019-11,1430,65.37078888888888,670,343
2019-12,910,42.44333944444445,488,287
2020-01,1179,54.97042583333333,438,254
2020-02,1334,43.84001361111111,699,323
2020-03,934,41.90835527777778,607,388
2020-04,1028,48.20511277777778,643,403
2020-05,780,31.704271666666667,469,330
2020-06,294,12.392805277777779,212,170
2020-07,1368,48.060229444444445,770,333
2020-08,746,39.49552166666667,439,174
2020-09,1101,59.87098777777778,650,245
2020-10,534,29.98404222222222,361,108
2020-11,722,40.106201666666664,408,215
2020-12,623,27.06890027777778,279,156
2021-01,765,40.152232777777776,350,196
2021-02,522,25.762740833333332,284,170
2021-03,455,22.849409722222223,236,165
2021-04,372,17.108003333333333,228,119
2021-05,262,13.537749722222221,175,134
2021-06,508,16.702385833333334,328,241
2021-07,879,44.936525,495,302
2021-08,1048,53.519425,473,237
2021-09,691,35.25131972222222,322,115
2021-10,415,20.946287777777776,176,95
2021-11,496,25.659800833333332,340,207
2021-12,505,29.737351666666665,324,150
2022-01,338,19.159984444444444,163,49
2022-02,776,40.08872138888889,448,202
2022-03,1402,65.82601138888889,721,330
2022-04,1398,66.85809944444445,584,254
2022-05,1809,83.51422166666667,727,325
2022-06,1481,65.79389777777777,590,334
2022-07,964,43.23104138888889,404,206
2022-08,934,50.00042638888889,457,177
2022-09,1571,78.56809777777778,912,440
2022-10,1603,62.73116527777778,929,432
2022-11,877,44.68763361111111,533,234
2022-12,1242,59.18826888888889,578,292
2023-01,1579,71.53850583333333,734,326
2023-02,1375,62.32071611111111,505,234
2023-03,1400,58.72116472222222,683,320
2023-04,1466,67.68412833333333,698,349
2023-05,1245,52.32312916666667,565,313
2023-06,1758,84.36350222222222,615,335
2023-07,1121,42.82310583333334,513,298
2023-08,1179,56.725746666666666,545,252
2023-09,799,38.07320111111111,428,243
2023-10,819,38.525421111111115,446,237
2023-11,735,34.906129722222225,270,132
2023-12,648,31.739072222222223,344,200
2024-01,470,26.282731388888887,245,156
2024-02,417,23.867255,125,77
2024-03,412,22.422126111111112,185,105
2024-04,801,42.198969444444444,286,159
2024-05,594,32.935002222222224,297,172
2024-06,463,24.96452888888889,157,96
2024-07,341,14.230875,210,109
2024-08,310,14.291494444444444,135,75
2024-09,505,22.404271944444446,257,132
2024-10,651,28.075915555555557,373,196
2024-11,669,28.956228333333332,264,133
2024-12,401,17.145942777777776,127,67
2025-01,487,25.49672861111111,183,88
2025-02,397,18.655045277777777,161,88
2025-03,668,32.89940388888889,306,130
2025-04,635,33.271570277777776,339,166
2025-05,648,30.906566944444446,316,175
2025-06,1156,53.42349194444444,346,159
2025-07,833,36.97331472222222,327,194
2025-08,710,32.841389444444445,310,220
2025-09,558,26.4638325,187,77
2025-10,98,5.261856111111111,53,38
