Month,Top Artist,Streams
2018-10,Kane Brown,2
2018-11,John Mayer,10
2018-12,John Mayer,7
2019-01,John Mayer,3
2019-02,John Mayer,14
2019-03,Siddhartha Khosla,89
2019-04,ZAYN,70
2019-05,ZAYN,41
2019-06,Tiësto,24
2019-07,Childish Gambino,19
2019-08,ZAYN,214
2019-09,Taylor Swift,95
2019-10,Post Malone,188
2019-11,ZAYN,103
2019-12,Harry Styles,68
2020-01,Selena Gomez,121
2020-02,jung jaeil,70
2020-03,Niall Horan,61
2020-04,Queen,93
2020-05,Juice WRLD,82
2020-06,Cigarettes After Sex,30
2020-07,Juice WRLD,88
2020-08,Juice WRLD,105
2020-09,Linkin Park,75
2020-10,Cigarettes After Sex,50
2020-11,Queen,51
2020-12,DIVINE,54
2021-01,ZAYN,190
2021-02,ZAYN,112
2021-03,Justin Bieber,55
2021-04,Imagine Dragons,95
2021-05,Dean Martin,11
2021-06,Twenty One Pilots,59
2021-07,Twenty One Pilots,44
2021-08,Linkin Park,111
2021-09,Linkin Park,80
2021-10,DIVINE,28
2021-11,Taylor Swift,36
2021-12,ZAYN,74
2022-01,ZAYN,201
2022-02,ZAYN,131
2022-03,Eminem,193
2022-04,John Williams,153
2022-05,Harry Styles,222
2022-06,Post Malone,293
2022-07,Post Malone,202
2022-08,Linkin Park,191
2022-09,Linkin Park,226
2022-10,AP Dhillon,126
2022-11,John Williams,88
2022-12,Rushil Aswal,85
2023-01,John Mayer,168
2023-02,AP Dhillon,168
2023-03,AP Dhillon,205
2023-04,The Shins,213
2023-05,Post Malone,99
2023-06,Dominic Fike,77
2023-07,Post Malone,73
2023-08,Post Malone,161
2023-09,Anirudh Ravichander,41
2023-10,ZAYN,136
2023-11,Jung Kook,173
2023-12,John Williams,55
2024-01,One Direction,64
2024-02,Mohit Chauhan,88
2024-03,ZAYN,173
2024-04,ZAYN,102
2024-05,ZAYN,100
2024-06,ZAYN,162
2024-07,Wallows,52
2024-08,Post Malone,43
2024-09,daydreamers,75
2024-10,Janisht Joshi,47
2024-11,Linkin Park,50
2024-12,AUR,47
2025-01,Hayd,52
2025-02,Seedhe Maut,116
2025-03,Jeremy Zucker,60
2025-04,ZAYN,67
2025-05,Seedhe Maut,36
2025-06,Brainy,495
2025-07,Pritam,40
2025-08,Tanishk Bagchi,31
2025-09,Pritam,214
2025-10,Pritam,21
