repeat_group,track,repeat_count,artist
3148,Mazaak,34,Anuv Jain
4354,Mona Lisa (Spider-Man: Across the Spider-Verse),24,Dominic Fike
3424,Jaadugar,19,Rushil Aswal
1332,Stuck with U (with Justin Bieber),18,Ariana Grande
5068,What I Am,18,ZAYN
4356,Mona Lisa (Spider-Man: Across the Spider-Verse),18,Dominic Fike
5162,Tu hai kahan (feat. ZAYN),17,AUR
2762,champagne problems,15,Taylor Swift
430,Burning Blue,15,Liam Macdonald
4572,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",14,Pritam
5884,Hich Amuchi Praarthana,14,Mugdha Vaishampain
5124,Tu hai kahan (feat. ZAYN),14,AUR
4554,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",13,Pritam
4054,Chemical,13,Post Malone
4428,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",13,Pritam
4220,Hey Ya !,13,Clinton Cerejo
2334,Face Off,12,Tech N9ne
6088,Qayde Se - Film Version,12,Pritam
4456,Iraaday,12,Rovalio
4670,"What Was I Made For? [From The Motion Picture ""Barbie""]",11,Billie Eilish
5358,Delicate,11,Taylor Swift
5700,O Meri Laila,11,Atif Aslam
6010,A Little More,11,Ed Sheeran
4296,Obsessed,11,Riar Saab
4910,Pehle Bhi Main,11,Vishal Mishra
3906,Labyrinth,10,Taylor Swift
2930,"Kesariya (From ""Brahmastra"")",10,Pritam
3874,Rewrite The Stars,10,Zac Efron
4892,I Don’t Wanna Live Forever (Fifty Shades Darker),10,ZAYN
5324,Cover Me,10,Stray Kids
