platform,Total Streams,Total Hours,Unique Tracks,Avg Stream Duration (min),First Use,Last Use
ios,23304,1085.905715,4751,2.795843756436663,2022-10-14 19:26:45+00:00,2025-10-10 23:08:55+00:00
"Android OS 9 API 28 (Xiaomi, Redmi Note 5 Pro)",16192,719.2652466666667,4494,2.665261536561265,2019-03-10 14:01:16+00:00,2022-09-03 08:13:02+00:00
"Android OS 11 API 30 (motorola, moto g(60))",6800,323.6162147222222,2292,2.85543718872549,2021-11-06 20:46:36+00:00,2022-07-04 13:01:09+00:00
Windows 10 (10.0.19041; x64; AppX),4472,211.0460613888889,2031,2.831566118813357,2020-07-05 14:09:42+00:00,2021-10-07 17:11:55+00:00
"Android OS 12 API 31 (motorola, moto g(60))",2965,147.03997361111112,1264,2.9755137998875774,2022-07-04 16:09:17+00:00,2022-09-27 18:25:25+00:00
osx,2742,132.00319944444445,1131,2.8884726355458303,2024-08-10 20:42:45+00:00,2025-10-09 18:45:17+00:00
Windows 10 (10.0.18362; x64),2282,104.02155444444445,1063,2.7350101957347355,2019-07-23 15:18:59+00:00,2020-06-09 17:26:19+00:00
not_applicable,1596,70.04955527777778,752,2.6334419277360066,2023-01-13 03:13:44+00:00,2023-06-30 02:44:50+00:00
"Android OS 8.1.0 API 27 (Xiaomi, Redmi Note 5 Pro)",1312,40.942479166666665,644,1.8723694740853658,2018-11-25 11:47:02+00:00,2019-06-08 09:50:50+00:00
"iOS 16.0.2 (iPhone14,5)",1083,50.353967222222224,663,2.7896934749153584,2022-09-25 13:44:26+00:00,2022-10-14 19:25:01+00:00
Linux [x86-64 0],1046,48.84148555555556,691,2.801614850223072,2019-10-17 07:44:39+00:00,2020-05-10 04:32:27+00:00
Windows 10 (10.0.22000; x64; AppX),863,43.714708333333334,571,3.0392612977983777,2021-12-31 12:25:57+00:00,2022-10-11 17:23:33+00:00
windows,767,43.32111388888889,426,3.3888746197305517,2022-10-31 08:23:05+00:00,2024-07-12 06:38:44+00:00
android,683,25.382129166666665,399,2.2297624450951683,2022-11-20 11:28:58+00:00,2025-06-05 17:09:57+00:00
"iOS 12.3 (iPad6,11)",524,13.15362111111111,393,1.5061398218829518,2019-05-15 15:46:12+00:00,2019-05-26 16:12:44+00:00
"Android-tablet OS 11 API 30 (SAMSUNG, SM-T866N)",503,26.580494722222223,339,3.170635553346587,2022-02-09 04:29:07+00:00,2022-02-23 18:32:25+00:00
"iOS 12.1.4 (iPad6,11)",485,20.335334444444445,315,2.5157114776632303,2019-03-01 16:37:47+00:00,2019-04-11 15:35:56+00:00
"iOS 13.3.1 (iPad6,11)",423,18.084985,327,2.56524609929078,2020-02-14 10:04:14+00:00,2020-04-24 06:42:52+00:00
"iOS 12.2 (iPad6,11)",415,9.594949722222223,319,1.3872216465863454,2019-04-11 15:58:31+00:00,2019-05-14 16:58:34+00:00
Windows 10 (10.0.17134; x64; AppX),366,12.198269722222221,288,1.9997163479052824,2019-03-05 10:00:49+00:00,2019-07-04 19:20:25+00:00
web_player linux undefined;firefox 72.0;desktop,225,11.755478333333333,67,3.134794222222222,2020-01-12 10:31:30+00:00,2020-02-16 07:22:37+00:00
"iOS 13.1.2 (iPad6,11)",210,11.310753055555555,174,3.2316437301587304,2019-10-09 11:05:27+00:00,2019-10-16 08:55:10+00:00
"iOS 13.1.3 (iPad6,11)",208,5.096479166666667,181,1.470138221153846,2019-10-18 16:59:31+00:00,2019-11-01 06:01:31+00:00
"iOS 12.3.1 (iPad6,11)",207,11.052383333333333,163,3.203589371980676,2019-06-11 08:46:53+00:00,2019-07-31 16:45:21+00:00
"iOS 13.4.1 (iPad6,11)",193,8.264631666666666,171,2.569315544041451,2020-04-26 09:34:55+00:00,2020-05-13 10:24:44+00:00
cast,181,8.815414722222222,138,2.9222369244935544,2023-10-12 06:35:45+00:00,2023-10-24 04:21:35+00:00
"iOS 13.2.2 (iPad6,11)",139,6.877591111111111,120,2.9687443645083933,2019-11-12 15:32:15+00:00,2019-11-19 05:33:27+00:00
"iOS 12.4.1 (iPad6,11)",120,5.257080833333333,117,2.6285404166666666,2019-09-24 04:18:45+00:00,2019-10-04 14:50:54+00:00
"iOS 13.3 (iPad6,11)",116,5.344531944444444,101,2.7644130747126434,2019-12-20 15:42:48+00:00,2020-01-26 17:43:54+00:00
"iOS 13.2.3 (iPad6,11)",92,4.248954444444444,67,2.7710572463768117,2019-11-20 04:47:19+00:00,2019-12-06 15:31:49+00:00
"iOS 12.4 (iPad6,11)",90,3.566463611111111,73,2.377642407407407,2019-08-14 04:06:31+00:00,2019-08-28 12:58:45+00:00
Partner android_tv Sony;BRAVIA4KGBATV3;756a522d9f1648b89e76e80be654456a;;tpapi,85,2.741456388888889,64,1.9351456862745098,2019-04-20 08:18:01+00:00,2021-01-01 13:15:35+00:00
"iOS 14.2 (iPad6,11)",78,4.563645833333333,74,3.510496794871795,2020-11-24 12:22:55+00:00,2020-11-29 15:02:13+00:00
Windows 10 (10.0.18362; x64; AppX),68,3.6258933333333334,68,3.199317647058823,2019-07-18 13:20:11+00:00,2020-06-20 07:46:35+00:00
Windows 10 (10.0.19043; x64; AppX),46,1.1695477777777779,41,1.5254971014492755,2021-10-10 14:53:29+00:00,2021-12-13 15:55:22+00:00
"iOS 13.2 (iPad6,11)",27,1.3282447222222222,22,2.951654938271605,2019-11-07 08:54:36+00:00,2019-11-08 04:37:46+00:00
"Android-tablet OS 9 API 28 (Xiaomi, Gumbo)",24,0.16842888888888888,20,0.4210722222222222,2019-07-10 03:39:41+00:00,2019-07-10 04:01:43+00:00
"Android-tablet OS 8.1.0 API 27 (Xiaomi, LG)",22,0.4728261111111111,19,1.2895257575757575,2018-11-25 06:58:07+00:00,2018-11-25 07:31:41+00:00
Partner tizen_tv samsung;UA32K4300;568a50c7e7f64fe3b44a3316ef5590fd;;tpapi,22,0.9045197222222222,17,2.4668719696969696,2021-01-29 00:24:31+00:00,2021-01-30 08:29:03+00:00
"iOS 13.7 (iPad6,11)",17,0.9648616666666666,17,3.4053941176470586,2020-09-18 16:22:54+00:00,2020-09-18 17:20:20+00:00
web_player windows 10;firefox 98.0;desktop,16,0.22789416666666668,14,0.854603125,2022-03-31 05:47:40+00:00,2022-03-31 16:40:30+00:00
