Album,Artist,Total Streams,Total Hours,Unique Tracks,First Listen,Last Listen
Icarus Falls,ZAYN,1217,58.8603975,29,2019-03-01 06:17:39+00:00,2025-09-30 05:56:09+00:00
Nobody Is Listening,ZAYN,1143,54.61611833333333,12,2021-01-17 08:55:22+00:00,2025-09-30 06:19:32+00:00
Twelve Carat Toothache,Post Malone,651,29.215891944444444,16,2022-06-06 17:59:47+00:00,2023-10-13 19:02:07+00:00
Hollywood's Bleeding,Post Malone,636,27.98924111111111,17,2019-09-10 20:34:58+00:00,2025-06-01 03:23:31+00:00
Two Hearts Never Break The Same,AP Dhillon,582,26.45821861111111,6,2022-10-13 14:27:34+00:00,2025-07-31 14:17:36+00:00
Harry's House,Harry Styles,423,20.44426,13,2022-05-20 05:48:16+00:00,2025-06-21 21:55:49+00:00
Lover,Taylor Swift,332,15.88958,18,2019-08-18 08:17:25+00:00,2025-08-16 01:15:35+00:00
LIVING THINGS,Linkin Park,330,14.853338611111111,12,2020-07-08 11:30:57+00:00,2025-08-19 21:26:59+00:00
Legends Never Die,Juice WRLD,320,13.840983611111112,22,2020-07-11 11:49:03+00:00,2025-03-23 03:05:21+00:00
Mind Of Mine (Deluxe Edition),ZAYN,310,13.459004166666666,18,2019-03-13 00:57:12+00:00,2025-09-30 06:05:40+00:00
Rockstar,Mohit Chauhan,306,18.29705361111111,8,2019-04-07 10:00:54+00:00,2025-05-26 19:26:01+00:00
Fine Line,Harry Styles,284,13.840034444444445,12,2019-12-13 18:37:06+00:00,2024-11-30 02:36:03+00:00
AUSTIN,Post Malone,234,10.410813888888889,17,2023-07-28 05:41:39+00:00,2023-12-29 16:38:11+00:00
beerbongs & bentleys,Post Malone,228,9.003109444444444,18,2019-03-02 04:21:04+00:00,2025-08-30 20:07:49+00:00
ROOM UNDER THE STAIRS,ZAYN,228,11.539166666666667,18,2024-06-04 12:33:16+00:00,2025-09-30 06:23:25+00:00
Minutes to Midnight,Linkin Park,228,11.77304111111111,15,2020-07-08 11:34:24+00:00,2023-08-01 19:18:31+00:00
X's,Cigarettes After Sex,218,11.370440555555556,10,2024-07-22 05:40:42+00:00,2025-09-03 23:48:01+00:00
Rockstar,A.R. Rahman,218,19.214493055555554,4,2020-01-09 16:51:18+00:00,2025-05-26 18:06:08+00:00
Meteora,Linkin Park,216,9.44450111111111,16,2020-07-08 11:36:35+00:00,2024-11-07 04:27:04+00:00
Westlife,Westlife,216,11.885150277777777,18,2019-08-14 17:22:23+00:00,2025-02-24 16:28:02+00:00
Rare,Selena Gomez,207,9.098521944444444,15,2020-01-10 18:12:02+00:00,2025-06-10 17:15:46+00:00
GOLDEN,Jung Kook,197,8.238219166666667,11,2023-11-04 06:29:43+00:00,2025-04-30 07:55:47+00:00
Hybrid Theory,Linkin Park,195,8.98470111111111,15,2020-07-08 11:38:00+00:00,2024-03-29 04:51:23+00:00
To Let A Good Thing Die,Bruno Major,193,9.344481666666667,8,2021-12-13 18:14:28+00:00,2025-08-19 22:26:31+00:00
Kohinoor,DIVINE,193,8.040070277777778,8,2019-10-09 03:17:39+00:00,2023-09-07 02:14:10+00:00
folklore,Taylor Swift,189,10.718126666666667,14,2020-07-24 09:26:12+00:00,2025-06-21 21:59:05+00:00
Continuum,John Mayer,182,10.0914175,11,2018-12-16 06:41:05+00:00,2024-10-13 00:27:25+00:00
Midnights,Taylor Swift,181,7.97868,13,2022-10-21 07:14:35+00:00,2025-04-04 21:34:55+00:00
Jaadugar,Rushil Aswal,180,10.635275277777778,1,2022-12-04 03:13:52+00:00,2024-11-08 16:10:34+00:00
Justice,Justin Bieber,175,7.209637222222222,17,2021-03-19 18:30:52+00:00,2025-08-10 03:22:58+00:00
Baarishein,Anuv Jain,174,8.460332222222222,1,2019-04-10 16:18:16+00:00,2025-07-15 06:21:17+00:00
Champagne Talk,King,171,6.994744166666667,4,2022-12-07 06:30:43+00:00,2025-08-19 22:05:58+00:00
HIDDEN GEMS,AP Dhillon,169,5.743566111111111,6,2022-03-29 04:11:19+00:00,2023-08-24 19:03:22+00:00
