track_artist,streams
Dil Nu - AP Dhillon,296
Jaadugar - Rushil Aswal,192
Baarishein - Anuv Jain,174
The Most Beautiful Thing - Bruno Major,172
Maan Meri Jaan - King,164
Love Language - Connor Price,157
Better - ZAYN,152
Kun Faya Kun - A.R. Rahman,146
Tu hai kahan (feat. ZAYN) - AUR,145
Madhubala - Amit Trivedi,143
What I Am - ZAYN,140
Mona Lisa (Spider-Man: Across the Spider-Verse) - Dominic Fike,134
Mourning - Post Malone,130
Vibez - ZAYN,128
Mohabbat - Kaam Bhaari,128
Tu Aake Dekhle - King,125
Mazaak - Anuv Jain,120
Sweat - ZAYN,115
Trampoline (with ZAYN) - SHAED,114
Outside - ZAYN,112
Gehraiyaan Reprise - OAFF,111
"Kesariya (From ""Brahmastra"") - Pritam",111
Kho Gaye - Taaruk Raina,109
When Love's Around (feat. Syd) - ZAYN,107
Connexion - ZAYN,107
Nanchaku - Seedhe Maut,106
Tightrope - ZAYN,105
Roz Roz - The Yellow Diary,105
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"") - Pritam",103
As It Was - Harry Styles,103
slow down - Forrest.,102
Chemical - Post Malone,101
Kahin To - Rashid Ali,99
There You Are - ZAYN,97
Summer High - AP Dhillon,97
Windowsill (feat. Devlin) - ZAYN,94
Sunflower - Spider-Man: Into the Spider-Verse - Post Malone,94
Iraaday - Rovalio,92
Memories - Maroon 5,89
Let Me - ZAYN,89
Those Eyes - New West,89
Levitating (feat. DaBaby) - Dua Lipa,89
Every Breath You Take - The Police,88
Love Like This - ZAYN,86
Peaches (feat. Daniel Caesar & Giveon) - Justin Bieber,86
Someone You Loved - Lewis Capaldi,85
Sober Up (feat. Rivers Cuomo) - AJR,85
River Road - ZAYN,85
Unfuckwitable - ZAYN,84
Falling - Harry Styles,81
